BRAKE_CONT1_CUR_PRESSURE_CANOPEN,BRAKE_CONT2_CUR_PRESSURE_CANOPEN,BRAKE_CURVE_PRESSURE_1,BRAKE_CURVE_PRESSURE_2,BRAKE_CURVE_PRESSURE_3,BRAKE_CURVE_PRESSURE_4,BRAKE_CURVE_PRESSURE_5,BRAKE_CURVE_TIME_1,BRAKE_CURVE_TIME_2,BRAKE_CURVE_TIME_3,BRAKE_CURVE_TIME_4,BRAKE_CURVE_TIME_5,time
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:44.889383
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:45.083496
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:45.293774
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:45.503083
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:45.713759
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:45.913812
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:46.112964
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:46.313019
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:46.523359
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:46.733485
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:46.923441
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:47.134142
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:47.528514
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:47.743688
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:47.943301
