PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,time
0.00,0.00,12.71,-2.00,33.00,1220.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:19.958960
0.00,0.00,12.71,-2.00,33.00,1220.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:19.997917
0.00,0.00,12.71,-2.00,33.00,1220.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:20.007921
0.00,0.00,12.71,-2.00,33.00,1220.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:20.018104
0.00,0.00,12.71,-2.00,33.00,1220.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:20.037919
0.00,0.00,6.35,-2.00,33.00,1220.00,130.00,-62.00,-54.00,-28.00,-10.00,18:24:20.067961
0.00,0.00,6.35,-2.00,33.00,1220.00,130.00,-62.00,-54.00,-28.00,-10.00,18:24:20.107435
0.00,0.00,6.35,-2.00,33.00,1220.00,130.00,-62.00,-54.00,-28.00,-10.00,18:24:20.117300
0.00,0.00,6.35,-2.00,33.00,1220.00,130.00,-62.00,-54.00,-28.00,-10.00,18:24:20.127290
0.00,0.00,6.35,-2.00,33.00,1220.00,130.00,-62.00,-54.00,-28.00,-10.00,18:24:20.159297
0.00,0.00,6.35,-2.00,33.00,1220.00,130.00,-62.00,-54.00,-28.00,-10.00,18:24:20.197532
0.00,0.00,6.35,-2.00,33.00,1220.00,130.00,-62.00,-54.00,-28.00,-10.00,18:24:20.207459
0.00,0.00,6.35,-2.00,33.00,1220.00,130.00,-62.00,-54.00,-28.00,-10.00,18:24:20.217444
0.00,0.00,6.35,-2.00,33.00,1220.00,130.00,-62.00,-54.00,-28.00,-10.00,18:24:20.227281
0.00,0.00,6.35,-2.00,33.00,1220.00,130.00,-62.00,-54.00,-28.00,-10.00,18:24:20.259286
0.00,0.00,6.35,-2.00,33.00,1220.00,130.00,-62.00,-54.00,-28.00,-10.00,18:24:20.297451
0.00,0.00,19.06,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:24:20.307252
0.00,0.00,19.06,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:24:20.317944
0.00,0.00,19.06,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:24:20.328488
0.00,0.00,19.06,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:24:20.359292
0.00,0.00,19.06,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:24:20.397955
0.00,0.00,19.06,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:24:20.407940
0.00,0.00,19.06,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:24:20.417306
0.00,0.00,19.06,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:24:20.427245
0.00,0.00,19.06,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:24:20.458681
