STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,STEERING_SERVO_TEMP_FRONT,STEERING_SERVO_TEMP_REAR,time
1,16,1120,100,63,61,19:19:54.229034
1,16,1120,100,63,61,19:19:54.238034
1,16,1120,100,63,61,19:19:54.249037
1,16,1120,100,63,61,19:19:54.279033
1,16,1120,150,63,61,19:19:54.288036
1,16,1120,150,63,61,19:19:54.348070
1,16,1120,150,63,61,19:19:54.378056
1,16,1120,150,63,61,19:19:54.388033
1,16,1120,150,63,61,19:19:54.429034
1,16,1120,150,63,61,19:19:54.438067
1,16,1120,150,63,61,19:19:54.448030
1,16,1120,150,63,61,19:19:54.479030
1,16,1120,150,63,61,19:19:54.488030
1,16,1120,150,63,61,19:19:54.529034
1,16,1120,150,63,61,19:19:54.539039
1,16,1120,150,63,61,19:19:54.549032
1,16,1110,140,63,61,19:19:54.578058
1,16,1110,140,63,61,19:19:54.588032
1,16,1110,140,63,61,19:19:54.629033
1,16,1110,140,63,61,19:19:54.639032
1,16,1110,140,63,61,19:19:54.668032
1,16,1110,140,63,61,19:19:54.688033
1,16,1120,140,63,61,19:19:54.729032
1,16,1120,140,63,61,19:19:54.739033
1,16,1120,140,63,61,19:19:54.749034
1,16,1120,140,63,61,19:19:54.778287
1,16,1120,140,63,61,19:19:54.788032
1,16,1120,140,63,61,19:19:54.829032
1,16,1120,130,63,61,19:19:54.839032
1,16,1120,130,63,61,19:19:54.849032
1,16,1120,130,63,61,19:19:54.878044
1,16,1120,130,63,61,19:19:54.889037
1,16,1120,130,63,61,19:19:54.929034
1,16,1120,130,63,61,19:19:54.938195
1,16,1120,130,63,61,19:19:54.949035
1,16,1120,130,63,61,19:19:54.979038
1,16,1120,130,63,61,19:19:54.990034
1,16,1120,130,63,61,19:19:55.028193
1,16,1120,130,63,61,19:19:55.038031
1,16,1120,130,63,61,19:19:55.049030
1,16,1120,100,63,61,19:19:55.079031
1,16,1120,100,63,61,19:19:55.088032
1,16,1120,100,63,61,19:19:55.128188
1,16,1120,100,63,61,19:19:55.139032
1,16,1120,100,63,61,19:19:55.149034
1,16,1120,130,63,61,19:19:55.188166
1,16,1120,130,63,61,19:19:55.229031
1,16,1120,130,63,61,19:19:55.239032
1,16,1120,130,63,61,19:19:55.249032
1,16,1120,130,63,61,19:19:55.268165
1,16,1120,130,63,61,19:19:55.288034
1,16,1120,130,63,61,19:19:55.349031
1,16,1120,120,63,61,19:19:55.379053
1,16,1120,120,63,61,19:19:55.388031
1,16,1120,120,63,61,19:19:55.429034
1,16,1120,120,63,61,19:19:55.438031
1,16,1120,120,63,61,19:19:55.449030
1,16,1120,120,63,61,19:19:55.468065
1,16,1120,90,63,61,19:19:55.489030
1,16,1120,90,63,61,19:19:55.528066
1,16,1120,90,63,61,19:19:55.538030
1,16,1120,90,63,61,19:19:55.548059
1,16,1120,90,63,61,19:19:55.568068
1,16,1120,90,63,61,19:19:55.588032
1,16,1120,90,63,61,19:19:55.629052
1,16,1120,90,63,61,19:19:55.638096
1,16,1120,90,63,61,19:19:55.648166
1,16,1120,90,63,61,19:19:55.669044
1,16,1120,90,63,61,19:19:55.728062
1,16,1120,90,63,61,19:19:55.738188
1,16,1120,70,63,61,19:19:55.748030
1,16,1120,70,63,61,19:19:55.768064
1,16,1120,70,63,61,19:19:55.788185
1,16,1120,70,63,61,19:19:55.829038
1,16,1120,70,63,61,19:19:55.838040
1,16,1120,70,63,61,19:19:55.848030
1,16,1120,90,63,61,19:19:55.869046
1,16,1120,90,63,61,19:19:55.888068
1,16,1120,90,63,61,19:19:55.929049
1,16,1120,90,63,61,19:19:55.938098
1,16,1120,90,63,61,19:19:55.948030
1,16,1120,90,63,61,19:19:55.969030
1,16,1120,90,63,61,19:19:55.988058
1,16,1120,90,63,61,19:19:56.028192
1,16,1120,90,63,61,19:19:56.039030
1,16,1120,90,63,61,19:19:56.048063
1,16,1120,90,63,61,19:19:56.068146
1,16,1120,90,63,61,19:19:56.089036
1,16,1120,100,63,61,19:19:56.128072
1,16,1120,100,63,61,19:19:56.139101
1,16,1120,100,63,61,19:19:56.149054
1,16,1120,100,63,61,19:19:56.169045
1,16,1120,100,63,61,19:19:56.188036
1,16,1120,120,63,61,19:19:56.239031
1,16,1120,120,63,61,19:19:56.249032
1,16,1120,120,63,61,19:19:56.269035
1,16,1120,120,63,61,19:19:56.289073
1,16,1120,120,63,61,19:19:56.339049
1,16,1120,120,63,61,19:19:56.358031
1,16,1120,120,63,61,19:19:56.388032
1,16,1120,60,63,61,19:19:56.428066
1,16,1120,60,63,61,19:19:56.438034
1,16,1120,60,63,61,19:19:56.449054
1,16,1120,60,63,61,19:19:56.468040
1,16,1120,60,63,61,19:19:56.489034
1,16,1120,60,63,61,19:19:56.529034
1,16,1120,70,63,61,19:19:56.538031
1,16,1120,70,63,61,19:19:56.549032
1,16,1120,70,63,61,19:19:56.568056
1,16,1120,70,63,61,19:19:56.588029
1,16,1120,70,63,61,19:19:56.628323
1,16,1120,70,63,61,19:19:56.639123
1,16,1120,100,63,61,19:19:56.648031
1,16,1120,100,63,61,19:19:56.669032
1,16,1120,100,63,61,19:19:56.688032
1,16,1120,100,63,61,19:19:56.729035
1,16,1120,100,63,61,19:19:56.749040
1,16,1120,100,63,61,19:19:56.769032
1,16,1120,120,63,61,19:19:56.789033
1,16,1120,120,63,61,19:19:56.829031
1,16,1120,120,63,61,19:19:56.838060
1,16,1120,120,63,61,19:19:56.848146
1,16,1120,120,63,61,19:19:56.868065
1,16,1120,120,63,61,19:19:56.889031
1,16,1110,110,63,61,19:19:56.929032
1,16,1110,110,63,61,19:19:56.939036
1,16,1110,110,63,61,19:19:56.949032
1,16,1110,110,63,61,19:19:56.968069
1,16,1110,110,63,61,19:19:56.989051
1,16,1110,110,63,61,19:19:57.029033
1,16,1110,120,63,61,19:19:57.038032
1,16,1110,120,63,61,19:19:57.049157
1,16,1110,120,63,61,19:19:57.069034
1,16,1110,120,63,61,19:19:57.089031
1,16,1110,120,63,61,19:19:57.129035
1,16,1110,120,63,61,19:19:57.138070
1,16,1110,60,63,61,19:19:57.149036
1,16,1110,60,63,61,19:19:57.168068
1,16,1110,60,63,61,19:19:57.189032
1,16,1110,60,63,61,19:19:57.228305
1,16,1110,60,63,61,19:19:57.239031
1,16,1110,70,63,61,19:19:57.259030
1,16,1110,70,63,61,19:19:57.288153
1,16,1110,70,63,61,19:19:57.338123
1,16,1110,70,63,61,19:19:57.358055
1,16,1110,70,63,61,19:19:57.388058
1,16,1110,70,63,61,19:19:57.429034
1,16,1110,70,63,61,19:19:57.439032
1,16,1120,90,63,61,19:19:57.448331
1,16,1120,90,63,61,19:19:57.469034
1,16,1120,90,63,61,19:19:57.489031
1,16,1120,90,63,61,19:19:57.529046
1,16,1120,90,63,61,19:19:57.538030
1,16,1120,90,63,61,19:19:57.549049
1,16,1120,100,63,61,19:19:57.568179
1,16,1120,100,63,61,19:19:57.588031
1,16,1120,100,63,61,19:19:57.629055
1,16,1120,100,63,61,19:19:57.639030
1,16,1120,100,63,61,19:19:57.649178
1,16,1120,100,63,61,19:19:57.669031
1,16,1120,100,63,61,19:19:57.689033
1,16,1120,100,63,61,19:19:57.728328
1,16,1120,100,63,61,19:19:57.738031
1,16,1120,100,63,61,19:19:57.748169
1,16,1120,100,63,61,19:19:57.789030
1,16,1120,100,63,61,19:19:57.829031
1,16,1120,120,63,61,19:19:57.839032
1,16,1120,120,63,61,19:19:57.848030
1,16,1120,120,63,61,19:19:57.869031
1,16,1120,120,63,61,19:19:57.888055
1,16,1120,120,63,61,19:19:57.929038
1,16,1120,120,63,61,19:19:57.939030
1,16,1110,150,63,61,19:19:57.949034
1,16,1110,150,63,61,19:19:57.968294
1,16,1110,150,63,61,19:19:57.989033
1,16,1110,150,63,61,19:19:58.029031
1,16,1110,150,63,61,19:19:58.038035
1,16,1110,150,63,61,19:19:58.049031
1,16,1110,140,63,61,19:19:58.068038
1,16,1110,140,63,61,19:19:58.089030
1,16,1110,140,63,61,19:19:58.128039
1,16,1110,140,63,61,19:19:58.138029
1,16,1110,140,63,61,19:19:58.148030
1,16,1110,140,63,61,19:19:58.159030
1,16,1110,130,63,61,19:19:58.189031
1,16,1110,130,63,61,19:19:58.229030
1,16,1110,130,63,61,19:19:58.239030
1,16,1110,130,63,61,19:19:58.248351
1,16,1110,130,63,61,19:19:58.259174
1,16,1110,160,63,61,19:19:58.338201
1,16,1110,160,63,61,19:19:58.358445
1,16,1110,160,63,61,19:19:58.388472
1,16,1110,160,63,61,19:19:58.428602
1,16,1110,160,63,61,19:19:58.438454
1,16,1110,160,63,61,19:19:58.448635
1,16,1110,160,63,61,19:19:58.458631
1,16,1120,180,63,61,19:19:58.488454
1,16,1120,180,63,61,19:19:58.528630
1,16,1120,180,63,61,19:19:58.538454
1,16,1120,180,63,61,19:19:58.548457
1,16,1120,180,63,61,19:19:58.568483
1,16,1120,180,63,61,19:19:58.588454
1,16,1110,170,63,61,19:19:58.628671
1,16,1110,170,63,61,19:19:58.638651
1,16,1110,170,63,61,19:19:58.648675
1,16,1110,170,63,61,19:19:58.658667
