Тип управляющего задания,Коэффициент усиления пропорциональной составляющей регулятора скорости,Коэффициент усиления интегрирующей составляющей регулятора скорости,Коэффициент усиления пропорциональной составляющей регулятора тока Id,Коэффициент усиления интегрирующей составляющей регулятора тока Id,Коэффициент усиления пропорциональной составляющей регулятора тока Iq,Коэффициент усиления интегрирующей составляющей регулятора тока Iq,Коэффициент усиления пропорциональной составляющей регулятора тока возбуждения,Коэффициент усиления интегрирующей составляющей регулятора тока возбуждения,Максимальный ток двигателя в двигательном режиме,Максимальный ток двигателя в режиме торможения,Максимальный ток возбуждения,Максимальный момент в положительном направлении,Максимальный момент в отрицательном направлении,Максимальная скорость,Коэффициент усиления пропорциональной составляющей регулятора ослабления поля,Коэффициент усиления интегрирующей составляющей регулятора ослабления поля,Ограничение выхода регулятора ослабления поля,time
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:29.979515
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:29.984446
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:29.989876
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:29.996170
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.002321
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.006741
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.012997
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.018830
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.022996
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.029779
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.035661
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.040103
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.046370
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.052682
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.198377
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.331039
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.336885
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.342694
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.347644
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.353427
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.359834
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.365646
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.372281
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.378203
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.383465
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.389683
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.395048
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.401804
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.406178
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.413212
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.419210
1,0.2,1e-05,2.2,0.022,1.1,0.011,50,0.05,270,270,30,140,-140,8000,1,10,75,18:59:30.425412
