SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:06:00.006378
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:06:00.216900
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:06:00.416757
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:00.626267
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:00.842155
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:01.039165
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:01.246066
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:01.456508
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:01.686195
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:01.896964
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:02.096814
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:02.306744
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:02.496739
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:02.706258
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:02.906465
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:03.106461
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:03.318037
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:03.527084
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:06:03.727086
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:03.928698
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:04.126122
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:04.328929
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:04.542138
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:04.742428
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:04.943561
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:05.157087
